0.1 0 0
0.2 0 0
0.3 0 0
0.4 0 0
0.5 0 0
0.6 0 0
0.7 0 0
0.8 0 0
0.9 0 0
1 0 0
1.1 0 0
1.2 -1.32629e-05 0.00132629
1.3 1.22427e-05 0.00122427
1.4 2.27364e-05 0.00160763
1.5 -3.18309e-05 0.00351907
1.6 2.98415e-05 0.00358656
1.7 6.55344e-05 0.00408051
1.8 -7.07355e-05 0.00414684
1.9 -3.35063e-05 0.00604065
2 -1.59155e-05 0.00646521
2.1 -3.03152e-05 0.007426
2.2 -2.1703e-05 0.00762218
2.3 -0.000159155 0.00855824
2.4 -0.000152524 0.00967758
2.5 -5.72958e-05 0.0108229
2.6 0.000128548 0.0111702
2.7 -8.25248e-05 0.0112774
2.8 -0.00019326 0.0121104
2.9 6.03691e-05 0.0133649
3 -7.95774e-05 0.0135572
3.1 4.62063e-05 0.0142192
3.2 -8.95246e-05 0.0146704
3.3 -0.000173624 0.0143553
3.4 -0.000210646 0.0149126
3.5 -7.73038e-05 0.014979
3.6 0.00018126 0.0151798
3.7 -0.000369927 0.0154817
3.8 5.86361e-05 0.0161025
3.9 0.000130589 0.0157527
4 -0.000218838 0.0161567
4.1 1.94092e-05 0.0159163
4.2 -0.000109893 0.0160283
4.3 -3.70128e-05 0.016512
4.4 -7.23432e-06 0.0160717
4.5 0.000130861 0.0161653
4.6 -0.000280251 0.0159851
4.7 8.4657e-05 0.0165311
4.8 -3.31573e-06 0.0161052
4.9 9.74418e-06 0.0160812
5 6.04789e-05 0.0160398
5.1 -4.9931e-05 0.015858
5.2 4.591e-05 0.0158779
5.3 9.30905e-05 0.0159386
5.4 7.07354e-05 0.0156353
5.5 8.10245e-05 0.0156588
5.6 -7.67354e-05 0.0158117
5.7 -9.21423e-05 0.0156592
5.8 -3.01845e-05 0.0154286
5.9 0.000194223 0.0153495
6 -0.000127324 0.0152704
