0.1 0.0991894 0.172059
0.2 0.572732 0.255663
0.3 0.555802 7.54989e-14
0.4 0.496508 8.82116e-14
0.5 0.477652 3.49183e-14
0.6 0.478163 5.9844e-14
0.7 0.488918 1.1991e-14
0.8 0.5053 1.05699e-13
0.9 0.524718 4.56324e-14
1 0.545615 1.88747e-15
1.1 0.567076 0.00612645
1.2 0.58834 0.00537284
1.3 0.609119 0.00669549
1.4 0.629179 0.00936591
1.5 0.648228 0.00983982
1.6 0.666396 0.0123929
1.7 0.683627 0.0153678
1.8 0.699553 0.0154463
1.9 0.714929 0.0188618
2 0.728869 0.0188889
2.1 0.74194 0.0192905
2.2 0.754782 0.0222891
2.3 0.765604 0.020346
2.4 0.776649 0.0219877
2.5 0.786932 0.0230679
2.6 0.796189 0.022991
2.7 0.804707 0.0225815
2.8 0.812499 0.0218353
2.9 0.820205 0.0219693
3 0.827558 0.0222146
3.1 0.833855 0.0213893
3.2 0.839733 0.0205874
3.3 0.845793 0.0206761
3.4 0.850652 0.0195184
3.5 0.855733 0.019013
3.6 0.860358 0.0184722
3.7 0.864643 0.0178017
3.8 0.8686 0.0170793
3.9 0.872822 0.016917
4 0.87626 0.0161697
